Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17
city/none/normalized/uh3023/Array,,,,,,,,,,,,,,,,
選挙回,都道府県コード,都道府県名,JISコード,市区町村名,有権者数,投票者数,有効投票数,定数,候補者数,市区町村別得票数,得票総数,順位,名前,年齢,党派・会派等,現新
uh3023,28,兵庫県,28101,東灘区,169109,91867,90005,50,12,507,,11,,0,みどりの風,
uh3023,28,兵庫県,28101,東灘区,169109,91867,90005,50,12,9964,,6,,0,みんなの党,
uh3023,28,兵庫県,28101,東灘区,169109,91867,90005,50,12,9692,,2,,0,公明党,
uh3023,28,兵庫県,28101,東灘区,169109,91867,90005,50,12,297,,12,,0,幸福実現党,
uh3023,28,兵庫県,28101,東灘区,169109,91867,90005,50,12,310,,9,,0,新党大地,
uh3023,28,兵庫県,28101,東灘区,169109,91867,90005,50,12,10148,,5,,0,日本共産党,
uh3023,28,兵庫県,28101,東灘区,169109,91867,90005,50,12,18768,,4,,0,日本維新の会,
uh3023,28,兵庫県,28101,東灘区,169109,91867,90005,50,12,9293,,3,,0,民主党,
uh3023,28,兵庫県,28101,東灘区,169109,91867,90005,50,12,943,,8,,0,生活の党,
uh3023,28,兵庫県,28101,東灘区,169109,91867,90005,50,12,1502,,7,,0,社会民主党,
uh3023,28,兵庫県,28101,東灘区,169109,91867,90005,50,12,1282,,10,,0,緑の党グリーンズジャパン,
uh3023,28,兵庫県,28101,東灘区,169109,91867,90005,50,12,27299,,1,,0,自由民主党,
uh3023,28,兵庫県,28102,灘区,105497,56188,54775,50,12,758,,10,,0,緑の党グリーンズジャパン,
uh3023,28,兵庫県,28102,灘区,105497,56188,54775,50,12,15837,,1,,0,自由民主党,
uh3023,28,兵庫県,28102,灘区,105497,56188,54775,50,12,308,,11,,0,みどりの風,
uh3023,28,兵庫県,28102,灘区,105497,56188,54775,50,12,5839,,6,,0,みんなの党,
uh3023,28,兵庫県,28102,灘区,105497,56188,54775,50,12,6993,,2,,0,公明党,
uh3023,28,兵庫県,28102,灘区,105497,56188,54775,50,12,235,,12,,0,幸福実現党,
